Variable,N,Mean,SD,Median,Q1,Q3,Min,Max,% >=90,% =100
Strategic Thinking Pre,198,83.73434343434344,16.129489728656477,87.7,80.125,94.475,0.0,100.0,41.41414141414141,10.606060606060606
Problem Solving Pre,198,88.50454545454545,18.560181425942833,94.4,89.6,98.675,1.0,100.0,73.73737373737373,18.181818181818183
Decision Making Pre,198,83.97121212121212,15.678580867402825,87.75,78.6,94.875,4.0,100.0,41.91919191919192,9.595959595959595
Leadership Pre,198,85.4560606060606,20.351535908722564,91.85,87.725,95.675,5.7,100.0,64.14141414141415,5.555555555555555
Adaptability Pre,198,87.56868686868687,20.68684393455215,95.05,89.35,98.675,1.0,100.0,72.72727272727273,20.2020202020202
Digital Capability Pre,198,89.32474747474748,19.45798659475574,95.6,91.3,99.2,1.0,100.0,79.29292929292929,20.707070707070706
AI Knowledge Pre,198,70.47020202020202,13.650004033379073,72.6,66.42500000000001,78.675,0.0,98.0,1.5151515151515151,0.0
AI Application Pre,198,67.30656565656567,13.259369154636133,69.85,61.824999999999996,76.175,2.3,93.9,1.0101010101010102,0.0
AI Judgement Pre,198,70.43787878787879,13.993821317693302,72.3,65.025,79.475,0.0,95.4,2.525252525252525,0.0
Data Literacy Pre,198,70.97070707070708,13.3968384218277,73.65,65.2,79.5,0.0,94.8,1.5151515151515151,0.0
Conventional Capability Index,198,86.4266005050505,14.762754303318607,90.775,83.40415,95.61252499999999,2.2167,100.0,53.03030303030303,0.5050505050505051
AI/Data Capability Index,198,69.79633838383837,12.575749509977806,72.675,65.76249999999999,78.39375,0.575,88.525,0.0,0.0
Capability Gap,198,16.630262121212123,5.912306626307687,17.475,14.118774999999996,20.339550000000003,-2.3667000000000016,32.283300000000004,,
